active,latitude,longitude,initials
y,41.19309,-101.65585,RM
n,41.19303,-101.65598,RM
y,41.19300,-101.65598,RM
y,41.19303,-101.65585,RM
n,41.19304,-101.65584,RM
y,41.19315,-101.65573,RM
y,41.19318,-101.65569,RM
y,41.19315,-101.65565,RM
y,41.19294,-101.65583,RM
y,41.19291,-101.65589,RM
n,41.19289,-101.65589,RM
y,41.19286,-101.65589,RM
y,41.19286,-101.65588,RM
y,41.19282,-101.65585,RM
y,41.19277,-101.65581,RM
n,41.19307,-101.65556,RM
y,41.19307,-101.65555,RM
y,41.19305,-101.6555,RM
y,41.19303,-101.65549,RM
n,41.19297,-101.65544,RM
y,41.19295,-101.6554,RM
y,41.19299,-101.65541,RM
y,41.19305,-101.65543,RM
y,41.19307,-101.65538,RM
y,41.19310,-101.6554,RM
y,41.19305,-101.65535,RM
y,41.19308,-101.65529,RM
y,41.19310,-101.65527,RM
y,41.19310,-101.65528,RM
y,41.19315,-101.65529,RM
y,41.19313,-101.65527,RM
y,41.19318,-101.65525,RM
y,41.19319,-101.65525,RM
y,41.19319,-101.65523,RM
n,41.19308,-101.65523,RM
y,41.19308,-101.65518,RM
n,41.19307,-101.65518,RM
y,41.19301,-101.65524,RM
y,41.19301,-101.6553,RM
y,41.19295,-101.65532,RM
y,41.19292,-101.65534,RM
n,41.19291,-101.65536,RM
y,41.19322,-101.6553,RM
y,41.19324,-101.6556,RM
y,41.19323,-101.65522,RM
y,41.19324,-101.65523,RM
y,41.19329,-101.65524,RM
y,41.1933,-101.65528,RM
y,41.19329,-101.65517,RM
y,41.19331,-101.6557,RM
n,41.19337,-101.6557,RM
y,41.19339,-101.65522,RM
y,41.19339,-101.65523,RM
y,41.19341,-101.65524,RM
n,41.19345,-101.65525,RM
y,41.19343,-101.65518,RM
y,41.19347,-101.65518,RM
y,41.19349,-101.65517,RM
y,41.19349,-101.65517,RM
y,41.1934,-101.65513,RM
y,41.19337,-101.65511,RM
y,41.19331,-101.65508,RM
y,41.19335,-101.65502,RM
y,41.19335,-101.655,RM
y,41.19339,-101.65501,RM
y,41.19342,-101.65503,RM
y,41.19345,-101.65495,RM
y,41.19345,-101.65501,RM
y,41.19347,-101.65491,RM
y,41.1935,-101.65489,RM
y,41.1935,-101.65497,RM
y,41.19353,-101.65497,RM
y,41.19355,-101.65496,RM
y,41.19358,-101.65493,RM
y,41.19271,-101.65582,SM
y,41.19273,-101.65578,SM
y,41.19275,-101.65577,SM
y,41.19286,-101.65572,SM
n,41.19282,-101.65567,SM
n,41.19283,-101.65566,SM
n,41.19279,-101.65565,SM
n,41.19277,-101.65568,SM
n,41.19276,-101.65567,SM
y,41.19276,-101.65569,SM
n,41.1928,-101.65562,SM
y,41.19282,-101.65559,SM
n,41.19276,-101.65559,SM
y,41.19285,-101.65562,SM
y,41.19289,-101.65561,SM
y,41.19285,-101.65558,SM
y,41.19285,-101.65553,SM
y,41.19287,-101.65554,SM
y,41.19286,-101.65553,SM
y,41.1929,-101.65548,SM
y,41.19283,-101.65549,SM
n,41.19284,-101.65547,SM
y,41.19281,-101.65552,SM
n,41.19297,-101.65549,SM
y,41.1933,-101.65468,SM
y,41.19327,-101.65465,SM
y,41.19325,-101.65466,SM
y,41.19323,-101.65472,SM
y,41.19318,-101.65468,SM
y,41.19327,-101.6546,SM
y,41.19334,-101.65441,SM
y,41.19337,-101.65446,SM
n,41.19338,-101.65453,SM
y,41.1934,-101.65462,SM
n,41.19342,-101.65475,SM
y,41.19344,-101.65475,SM
n,41.1935,-101.65479,SM
y,41.19353,-101.65475,SM
y,41.19357,-101.65477,SM
y,41.19353,-101.65467,SM
y,41.19349,-101.6547,SM
y,41.19347,-101.65466,SM
y,41.19344,-101.65459,SM
y,41.19339,-101.6544,SM
n,41.19331,-101.65437,SM
y,41.19339,-101.65432,SM
y,41.1934,-101.65428,SM
n,41.1934,-101.65424,SM
y,41.19341,-101.65417,SM
y,41.19341,-101.65411,SM
y,41.19345,-101.65413,SM
y,41.19349,-101.65417,SM
y,41.19345,-101.65419,SM
y,41.19345,-101.65425,SM
y,41.19345,-101.65436,SM
y,41.19345,-101.65434,SM
y,41.19344,-101.65432,SM
y,41.19348,-101.65431,SM
y,41.19351,-101.6543,SM
y,41.19352,-101.65424,SM
y,41.19353,-101.6543,SM
y,41.19351,-101.65438,SM
y,41.19349,-101.65442,SM
y,41.19345,-101.65453,SM
n,41.192642,-101.65553,TAD
y,41.192259,-101.65547,TAD
y,41.19263,-101.65544,TAD
y,41.19262,-101.6554,TAD
y,41.19264,-101.65538,TAD
n,41.19267,-101.65536,TAD
n,41.19269,-101.6554,TAD
y,41.19269,-101.65543,TAD
y,41.19275,-101.65548,TAD
y,41.19276,-101.65544,TAD
y,41.19278,-101.65542,TAD
y,41.19275,-101.6554,TAD
n,41.19276,-101.65536,TAD
y,41.19273,-101.65537,TAD
y,41.19271,-101.65531,TAD
y,41.19271,-101.6553,TAD
y,41.19272,-101.65523,TAD
y,41.19275,-101.65521,TAD
y,41.19275,-101.65525,TAD
y,41.19277,-101.6552,TAD
y,41.19279,-101.65513,TAD
y,41.19283,-101.65516,TAD
y,41.19283,-101.65514,TAD
y,41.19286,-101.65506,TAD
y,41.19285,-101.65505,TAD
y,41.19289,-101.65505,TAD
y,41.19289,-101.65504,TAD
y,41.19295,-101.65504,TAD
y,41.19296,-101.65509,TAD
y,41.193,-101.65509,TAD
y,41.19305,-101.65525,TAD
n,41.19311,-101.65507,TAD
y,41.19316,-101.65506,TAD
y,41.19316,-101.65502,TAD
n,41.19323,-101.65502,TAD
y,41.19324,-101.65503,TAD
y,41.19323,-101.65501,TAD
y,41.19331,-101.65598,TAD
y,41.19328,-101.65585,TAD
y,41.19328,-101.65588,TAD
y,41.19334,-101.65587,TAD
n,41.19261667,-101.6555333,JR
n,41.19258333,-101.6555333,JR
y,41.19256667,-101.6555,JR
y,41.19255,-101.6555333,JR
y,41.19253333,-101.6555667,JR
n,41.19251667,-101.6556,JR
y,41.19246667,-101.6556333,JR
y,41.19253333,-101.6555333,JR
n,41.19253333,-101.6554833,JR
y,41.19255,-101.65545,JR
y,41.19251667,-101.6554167,JR
n,41.19248333,-101.6553667,JR
y,41.19251667,-101.65535,JR
y,41.1925,-101.6550167,JR
n,41.19253333,-101.6549667,JR
y,41.1926,-101.6549833,JR
y,41.19261667,-101.65495,JR
n,41.19255,-101.6549167,JR
y,41.19256667,-101.6548833,JR
y,41.19261667,-101.6548667,JR
y,41.19261667,-101.6548833,JR
y,41.19263333,-101.6548333,JR
n,41.19265,-101.65485,JR
y,41.19266667,-101.6549167,JR
n,41.19271667,-101.6549667,JR
n,41.19273333,-101.6548333,JR
n,41.19276667,-101.6548,JR
y,41.1928,-101.6549,JR
y,41.19283333,-101.6549,JR
n,41.19291667,-101.6549333,JR
y,41.19298333,-101.6549,JR
n,41.19295,-101.6549,JR
y,41.19293333,-101.6548833,JR
n,41.19291667,-101.65485,JR
y,41.19286667,-101.6548333,JR
n,41.19291667,-101.6548167,JR
y,41.19293333,-101.6547833,JR
y,41.19298333,-101.6548333,JR
y,41.19301667,-101.6548,JR
n,41.19305,-101.6547833,JR
n,41.19305,-101.65475,JR
n,41.19305,-101.6547333,JR
y,41.19303333,-101.65475,JR
y,41.19308333,-101.6546833,JR
n,41.1931,-101.6546333,JR
n,41.19308333,-101.6546167,JR
n,41.19293333,-101.6548167,JR
y,41.19293333,-101.6544333,JR
y,41.19291667,-101.6544,JR
y,41.19293333,-101.6543333,JR
y,41.19301667,-101.6544,JR
y,41.19305,-101.6543833,JR
y,41.19313333,-101.6544,JR
y,41.19315,-101.6544,JR
y,41.19291667,-101.6543833,JR
n,41.19291667,-101.65435,JR
y,41.19293333,-101.6543333,JR
y,41.19296667,-101.6542833,JR
n,41.193,-101.6542667,JR
n,41.193,-101.6542167,JR
n,41.19301667,-101.6541833,JR
n,41.19296667,-101.6541833,JR
n,41.19295,-101.6542167,JR
n,41.19291667,-101.6541833,JR
